Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760902303,10/19/25 15:31,DAL1156,"30.202869,-97.664215",0,1,210
1760905915,10/19/25 16:31,DAL1156,"30.203081,-97.664093",0,3,225
1760905932,10/19/25 16:32,DAL1156,"30.203243,-97.663887",0,3,250
1760905944,10/19/25 16:32,DAL1156,"30.203289,-97.663681",0,3,253
1760905961,10/19/25 16:32,DAL1156,"30.203304,-97.663475",0,2,151
1760906003,10/19/25 16:33,DAL1156,"30.203442,-97.663261",0,4,70
1760906012,10/19/25 16:33,DAL1156,"30.203465,-97.663055",0,4,81
1760906024,10/19/25 16:33,DAL1156,"30.203476,-97.662796",0,4,84
1760906034,10/19/25 16:33,DAL1156,"30.203487,-97.66259",0,3,87
1760906047,10/19/25 16:34,DAL1156,"30.203487,-97.662384",0,3,90
1760906296,10/19/25 16:38,DAL1156,"30.203499,-97.66217",0,3,87
1760906304,10/19/25 16:38,DAL1156,"30.203499,-97.661964",0,5,87
1760906312,10/19/25 16:38,DAL1156,"30.20351,-97.661713",0,6,87
1760906319,10/19/25 16:38,DAL1156,"30.203522,-97.661469",0,8,90
1760906324,10/19/25 16:38,DAL1156,"30.203487,-97.661255",0,8,95
1760906330,10/19/25 16:38,DAL1156,"30.203348,-97.661026",0,10,129
1760906336,10/19/25 16:38,DAL1156,"30.203053,-97.660973",0,10,174
1760906342,10/19/25 16:39,DAL1156,"30.202812,-97.660973",0,8,180
1760906348,10/19/25 16:39,DAL1156,"30.202606,-97.660973",0,8,180
1760906353,10/19/25 16:39,DAL1156,"30.202381,-97.660957",0,9,180
1760906360,10/19/25 16:39,DAL1156,"30.20208,-97.660957",0,10,180
1760906368,10/19/25 16:39,DAL1156,"30.201702,-97.660942",0,12,180
1760906375,10/19/25 16:39,DAL1156,"30.201336,-97.660934",0,10,180
1760906380,10/19/25 16:39,DAL1156,"30.20113,-97.660988",0,10,194
1760906385,10/19/25 16:39,DAL1156,"30.201004,-97.661201",0,11,233
1760906388,10/19/25 16:39,DAL1156,"30.20097,-97.661415",0,11,261
1760906392,10/19/25 16:39,DAL1156,"30.20097,-97.661674",0,11,270
1760906396,10/19/25 16:39,DAL1156,"30.200974,-97.661919",0,12,270
1760906401,10/19/25 16:40,DAL1156,"30.200962,-97.662193",0,13,270
1760906404,10/19/25 16:40,DAL1156,"30.200962,-97.66243",0,13,270
1760906408,10/19/25 16:40,DAL1156,"30.200962,-97.662689",0,14,270
1760906415,10/19/25 16:40,DAL1156,"30.200947,-97.663162",0,13,270
1760906422,10/19/25 16:40,DAL1156,"30.200924,-97.66362",0,10,264
1760906427,10/19/25 16:40,DAL1156,"30.200775,-97.663841",0,11,233
1760906432,10/19/25 16:40,DAL1156,"30.200531,-97.663925",0,12,194
1760906436,10/19/25 16:40,DAL1156,"30.200264,-97.66391",0,13,177
1760906441,10/19/25 16:40,DAL1156,"30.199997,-97.66391",0,11,177
1760906446,10/19/25 16:40,DAL1156,"30.199764,-97.663895",0,10,177
1760906451,10/19/25 16:40,DAL1156,"30.199551,-97.663895",0,10,177
1760906456,10/19/25 16:40,DAL1156,"30.199322,-97.663826",0,10,163
1760906461,10/19/25 16:41,DAL1156,"30.199162,-97.663597",0,12,126
1760906465,10/19/25 16:41,DAL1156,"30.199139,-97.663353",0,13,98
1760906468,10/19/25 16:41,DAL1156,"30.199139,-97.663124",0,14,90
1760906472,10/19/25 16:41,DAL1156,"30.199146,-97.662857",0,15,87
1760906475,10/19/25 16:41,DAL1156,"30.19915,-97.662575",0,15,87
1760906479,10/19/25 16:41,DAL1156,"30.199158,-97.662308",0,14,87
1760906482,10/19/25 16:41,DAL1156,"30.199169,-97.662041",0,13,87
1760906487,10/19/25 16:41,DAL1156,"30.199169,-97.661728",0,10,87
1760906492,10/19/25 16:41,DAL1156,"30.199173,-97.661499",0,11,87
1760906496,10/19/25 16:41,DAL1156,"30.199181,-97.661263",0,11,87
1760906500,10/19/25 16:41,DAL1156,"30.199194,-97.661026",0,8,87
1760906508,10/19/25 16:41,DAL1156,"30.199196,-97.660782",0,4,87
1760907039,10/19/25 16:50,DAL1156,"30.199196,-97.660553",0,4,87
1760907048,10/19/25 16:50,DAL1156,"30.199205,-97.660301",0,6,90
1760907055,10/19/25 16:50,DAL1156,"30.199135,-97.660049",0,8,109
1760907061,10/19/25 16:51,DAL1156,"30.198933,-97.659897",0,9,149
1760907066,10/19/25 16:51,DAL1156,"30.198681,-97.659889",0,11,177
1760907070,10/19/25 16:51,DAL1156,"30.198471,-97.659874",0,12,180
1760907075,10/19/25 16:51,DAL1156,"30.198215,-97.659874",0,13,180
1760907078,10/19/25 16:51,DAL1156,"30.197994,-97.659866",0,14,180
1760907083,10/19/25 16:51,DAL1156,"30.197704,-97.659859",0,15,180
1760907090,10/19/25 16:51,DAL1156,"30.197159,-97.659843",0,16,180
1760907097,10/19/25 16:51,DAL1156,"30.196621,-97.659828",0,17,180
1760907104,10/19/25 16:51,DAL1156,"30.196016,-97.659821",0,19,180
1760907113,10/19/25 16:51,DAL1156,"30.195225,-97.65979",0,20,180
1760907119,10/19/25 16:51,DAL1156,"30.194595,-97.659775",0,21,177
1760907122,10/19/25 16:52,DAL1156,"30.194241,-97.65976",0,22,180
1760907127,10/19/25 16:52,DAL1156,"30.193747,-97.659752",0,23,180
1760907129,10/19/25 16:52,DAL1156,"30.193485,-97.659744",0,23,180
1760907132,10/19/25 16:52,DAL1156,"30.193142,-97.659737",0,24,177
1760907135,10/19/25 16:52,DAL1156,"30.192902,-97.659729",0,24,177
1760907137,10/19/25 16:52,DAL1156,"30.192595,-97.659721",0,25,180
1760907140,10/19/25 16:52,DAL1156,"30.192234,-97.659721",0,25,180
1760907144,10/19/25 16:52,DAL1156,"30.191942,-97.659706",0,26,180
1760907145,10/19/25 16:52,DAL1156,"30.191698,-97.659698",0,25,180
1760907147,10/19/25 16:52,DAL1156,"30.191425,-97.659691",0,23,180
1760907150,10/19/25 16:52,DAL1156,"30.191116,-97.659691",0,21,180
1760907153,10/19/25 16:52,DAL1156,"30.190895,-97.659683",0,20,180
1760907155,10/19/25 16:52,DAL1156,"30.19067,-97.659676",0,18,177
1760907158,10/19/25 16:52,DAL1156,"30.190407,-97.659668",0,17,180
1760907161,10/19/25 16:52,DAL1156,"30.190186,-97.659653",0,17,180
1760907165,10/19/25 16:52,DAL1156,"30.189871,-97.659653",0,18,177
1760907167,10/19/25 16:52,DAL1156,"30.18965,-97.659653",0,18,177
1760907170,10/19/25 16:52,DAL1156,"30.189388,-97.659637",0,19,177
1760907175,10/19/25 16:52,DAL1156,"30.188906,-97.65963",0,20,180
1760907179,10/19/25 16:52,DAL1156,"30.188557,-97.659615",0,21,180
1760907183,10/19/25 16:53,DAL1156,"30.188335,-97.659615",0,21,180
1760907184,10/19/25 16:53,DAL1156,"30.188118,-97.659615",0,21,180
1760907186,10/19/25 16:53,DAL1156,"30.187893,-97.659599",0,22,180
1760907189,10/19/25 16:53,DAL1156,"30.187557,-97.659599",0,23,177
1760907192,10/19/25 16:53,DAL1156,"30.187357,-97.659584",0,23,180
1760907193,10/19/25 16:53,DAL1156,"30.187145,-97.659584",0,23,180
1760907195,10/19/25 16:53,DAL1156,"30.186882,-97.659569",0,23,180
1760907198,10/19/25 16:53,DAL1156,"30.186647,-97.659569",0,22,180
1760907200,10/19/25 16:53,DAL1156,"30.186333,-97.659561",0,21,177
1760907204,10/19/25 16:53,DAL1156,"30.185961,-97.659546",0,21,180
1760907206,10/19/25 16:53,DAL1156,"30.185749,-97.659546",0,21,180
1760907209,10/19/25 16:53,DAL1156,"30.185509,-97.659531",0,22,180
1760907211,10/19/25 16:53,DAL1156,"30.18524,-97.659531",0,22,180
1760907214,10/19/25 16:53,DAL1156,"30.184937,-97.659515",0,23,177
1760907216,10/19/25 16:53,DAL1156,"30.184685,-97.659515",0,23,180
1760907219,10/19/25 16:53,DAL1156,"30.184422,-97.6595",0,24,180
1760907221,10/19/25 16:53,DAL1156,"30.18417,-97.6595",0,24,180
1760907223,10/19/25 16:53,DAL1156,"30.183901,-97.6595",0,22,180
1760907227,10/19/25 16:53,DAL1156,"30.183504,-97.659492",0,20,180
1760907230,10/19/25 16:53,DAL1156,"30.183254,-97.659477",0,19,177
1760907233,10/19/25 16:53,DAL1156,"30.18298,-97.659462",0,17,180
1760907237,10/19/25 16:53,DAL1156,"30.182726,-97.659462",0,15,180
1760907241,10/19/25 16:54,DAL1156,"30.182505,-97.659462",0,14,180
1760907245,10/19/25 16:54,DAL1156,"30.182236,-97.659447",0,11,177
1760907250,10/19/25 16:54,DAL1156,"30.182014,-97.659447",0,9,177
1760907256,10/19/25 16:54,DAL1156,"30.181736,-97.659431",0,10,180
1760907262,10/19/25 16:54,DAL1156,"30.181526,-97.659431",0,6,177
1760907273,10/19/25 16:54,DAL1156,"30.181297,-97.659424",0,5,180
1760907294,10/19/25 16:54,DAL1156,"30.181091,-97.659424",0,2,180
1760907307,10/19/25 16:55,DAL1156,"30.180862,-97.659424",0,5,180
1760907357,10/19/25 16:55,DAL1156,"30.18063,-97.659409",0,3,177
1760907368,10/19/25 16:56,DAL1156,"30.180405,-97.659393",0,6,177
1760907374,10/19/25 16:56,DAL1156,"30.180201,-97.659393",0,7,180
1760907383,10/19/25 16:56,DAL1156,"30.179993,-97.659393",0,4,180
1760907491,10/19/25 16:58,DAL1156,"30.179792,-97.659393",0,3,180
1760907498,10/19/25 16:58,DAL1156,"30.179581,-97.659386",0,5,177
1760907506,10/19/25 16:58,DAL1156,"30.179361,-97.659309",0,6,163
1760907521,10/19/25 16:58,DAL1156,"30.179222,-97.659103",0,1,120
1760907619,10/19/25 17:00,DAL1156,"30.17918,-97.658882",0,5,104
1760907627,10/19/25 17:00,DAL1156,"30.17918,-97.65863",0,6,90
1760907637,10/19/25 17:00,DAL1156,"30.17918,-97.658401",0,0,90
1760907773,10/19/25 17:02,DAL1156,"30.17918,-97.658157",0,7,87
1760907779,10/19/25 17:02,DAL1156,"30.179192,-97.657875",0,9,87
1760907786,10/19/25 17:03,DAL1156,"30.179211,-97.657501",0,10,81
1760907793,10/19/25 17:03,DAL1156,"30.179375,-97.65728",0,7,47
1760907804,10/19/25 17:03,DAL1156,"30.179594,-97.65728",0,1,357
1760907822,10/19/25 17:03,DAL1156,"30.179878,-97.657295",0,12,357
1760907823,10/19/25 17:03,DAL1156,"30.180119,-97.657295",0,22,357
1760907826,10/19/25 17:03,DAL1156,"30.18049,-97.657303",0,33,357
1760907828,10/19/25 17:03,DAL1156,"30.180908,-97.65731",0,43,357
1760907829,10/19/25 17:03,DAL1156,"30.181108,-97.657303",0,46,357
1760907837,10/19/25 17:03,DAL1156,"30.183447,-97.657372",0,82,357
1760907844,10/19/25 17:04,DAL1156,"30.186613,-97.657471",325,118,358
1760907851,10/19/25 17:04,DAL1156,"30.190941,-97.657578",325,144,358
1760907859,10/19/25 17:04,DAL1156,"30.19718,-97.657745",450,160,358
1760907867,10/19/25 17:04,DAL1156,"30.203045,-97.657913",800,158,358
1760907872,10/19/25 17:04,DAL1156,"30.206085,-97.657845",1025,156,5
1760907874,10/19/25 17:04,DAL1156,"30.207504,-97.657578",1100,155,9
1760907876,10/19/25 17:04,DAL1156,"30.208818,-97.657303",1200,154,13
1760907878,10/19/25 17:04,DAL1156,"30.210215,-97.656815",1300,153,18
1760907880,10/19/25 17:04,DAL1156,"30.211565,-97.656265",1375,153,20
1760907882,10/19/25 17:04,DAL1156,"30.212952,-97.65564",1475,154,20
1760907884,10/19/25 17:04,DAL1156,"30.214279,-97.655045",1550,154,20
1760907886,10/19/25 17:04,DAL1156,"30.21579,-97.654404",1625,155,21
1760907888,10/19/25 17:04,DAL1156,"30.216917,-97.6539",1675,156,21
1760907890,10/19/25 17:04,DAL1156,"30.218407,-97.653183",1750,158,22
1760907892,10/19/25 17:04,DAL1156,"30.220001,-97.652466",1800,160,21
1760907894,10/19/25 17:04,DAL1156,"30.221294,-97.65181",1825,163,22
1760907896,10/19/25 17:04,DAL1156,"30.222794,-97.651115",1900,165,22
1760907898,10/19/25 17:04,DAL1156,"30.224274,-97.650436",1950,167,22
1760907900,10/19/25 17:05,DAL1156,"30.225677,-97.649773",2000,169,21
1760907902,10/19/25 17:05,DAL1156,"30.227205,-97.649063",2075,171,21
1760907904,10/19/25 17:05,DAL1156,"30.228607,-97.648422",2125,173,21
1760907906,10/19/25 17:05,DAL1156,"30.230371,-97.647636",2200,176,21
1760907908,10/19/25 17:05,DAL1156,"30.231995,-97.646912",2250,178,22
