Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760368534,2025-10-13T15:15:34Z,DAL603,"29.989269,-95.34874",0,0,195
1760368858,2025-10-13T15:20:58Z,DAL603,"29.989639,-95.348343",0,7,3
1760368867,2025-10-13T15:21:07Z,DAL603,"29.98988,-95.348579",0,9,324
1760368872,2025-10-13T15:21:12Z,DAL603,"29.989941,-95.348808",0,10,293
1760368877,2025-10-13T15:21:17Z,DAL603,"29.98996,-95.349037",0,9,281
1760368881,2025-10-13T15:21:21Z,DAL603,"29.98995,-95.349258",0,10,268
1760368885,2025-10-13T15:21:25Z,DAL603,"29.98995,-95.349472",0,10,268
1760368890,2025-10-13T15:21:30Z,DAL603,"29.98995,-95.349792",0,12,271
1760368894,2025-10-13T15:21:34Z,DAL603,"29.98995,-95.350029",0,11,270
1760368898,2025-10-13T15:21:38Z,DAL603,"29.98995,-95.350311",0,13,269
1760368903,2025-10-13T15:21:43Z,DAL603,"29.98983,-95.350601",0,12,253
1760368908,2025-10-13T15:21:48Z,DAL603,"29.98954,-95.350769",0,14,205
1760368911,2025-10-13T15:21:51Z,DAL603,"29.98933,-95.350769",0,15,182
1760368916,2025-10-13T15:21:56Z,DAL603,"29.9891,-95.350792",0,11,179
1760368922,2025-10-13T15:22:02Z,DAL603,"29.98896,-95.351151",0,14,240
1760368927,2025-10-13T15:22:07Z,DAL603,"29.988979,-95.351433",0,12,274
1760368931,2025-10-13T15:22:11Z,DAL603,"29.988991,-95.351677",0,12,271
1760368935,2025-10-13T15:22:15Z,DAL603,"29.988979,-95.351913",0,11,270
1760368941,2025-10-13T15:22:21Z,DAL603,"29.988979,-95.352142",0,7,269
1760368976,2025-10-13T15:22:56Z,DAL603,"29.989229,-95.352242",0,8,336
1760368981,2025-10-13T15:23:01Z,DAL603,"29.98888,-95.352127",0,11,192
1760368982,2025-10-13T15:23:02Z,DAL603,"29.98908,-95.352051",0,4,18
1760369043,2025-10-13T15:24:03Z,DAL603,"29.988819,-95.352119",0,9,176
1760369048,2025-10-13T15:24:08Z,DAL603,"29.98904,-95.352119",0,3,359
1760369068,2025-10-13T15:24:28Z,DAL603,"29.988831,-95.352058",0,8,169
1760369098,2025-10-13T15:24:58Z,DAL603,"29.98918,-95.352173",0,9,348
1760369100,2025-10-13T15:25:00Z,DAL603,"29.98897,-95.352158",0,2,221
1760369113,2025-10-13T15:25:13Z,DAL603,"29.98872,-95.35199",0,14,160
1760369115,2025-10-13T15:25:15Z,DAL603,"29.988979,-95.352119",0,0,341
1760369538,2025-10-13T15:32:18Z,DAL603,"29.989269,-95.352257",0,13,342
1760369543,2025-10-13T15:32:23Z,DAL603,"29.989031,-95.352127",0,1,327
1760369575,2025-10-13T15:32:55Z,DAL603,"29.98901,-95.352364",0,6,303
1760369582,2025-10-13T15:33:02Z,DAL603,"29.98912,-95.352631",0,8,293
1760369592,2025-10-13T15:33:12Z,DAL603,"29.98889,-95.35276",0,8,194
1760369599,2025-10-13T15:33:19Z,DAL603,"29.988939,-95.352531",0,7,85
1760369609,2025-10-13T15:33:29Z,DAL603,"29.988991,-95.35228",0,6,72
1760369614,2025-10-13T15:33:34Z,DAL603,"29.988979,-95.352058",0,8,87
1760369619,2025-10-13T15:33:39Z,DAL603,"29.988991,-95.351791",0,10,89
1760369624,2025-10-13T15:33:44Z,DAL603,"29.988979,-95.351486",0,11,89
1760369629,2025-10-13T15:33:49Z,DAL603,"29.988979,-95.351196",0,11,90
1760369633,2025-10-13T15:33:53Z,DAL603,"29.988991,-95.350967",0,10,89
1760369639,2025-10-13T15:33:59Z,DAL603,"29.989229,-95.350769",0,11,40
1760369643,2025-10-13T15:34:03Z,DAL603,"29.98945,-95.350769",0,13,4
1760369648,2025-10-13T15:34:08Z,DAL603,"29.98966,-95.350769",0,10,358
1760369653,2025-10-13T15:34:13Z,DAL603,"29.98988,-95.350609",0,11,22
1760369658,2025-10-13T15:34:18Z,DAL603,"29.98996,-95.350288",0,13,74
1760369662,2025-10-13T15:34:22Z,DAL603,"29.989941,-95.350029",0,13,94
1760369666,2025-10-13T15:34:26Z,DAL603,"29.98995,-95.349762",0,13,91
1760369670,2025-10-13T15:34:30Z,DAL603,"29.989981,-95.349503",0,13,86
1760369673,2025-10-13T15:34:33Z,DAL603,"29.989969,-95.349281",0,13,89
1760369676,2025-10-13T15:34:36Z,DAL603,"29.989969,-95.349068",0,13,90
1760369680,2025-10-13T15:34:40Z,DAL603,"29.989969,-95.348778",0,13,89
1760369685,2025-10-13T15:34:45Z,DAL603,"29.989941,-95.348511",0,10,96
1760369693,2025-10-13T15:34:53Z,DAL603,"29.989719,-95.348343",0,7,143
1760369700,2025-10-13T15:35:00Z,DAL603,"29.989479,-95.348343",0,7,169
1760369707,2025-10-13T15:35:07Z,DAL603,"29.98926,-95.348351",0,6,178
1760369714,2025-10-13T15:35:14Z,DAL603,"29.98922,-95.348572",0,2,247
1760371997,2025-10-13T16:13:17Z,DAL603,"29.989691,-95.348381",0,0,356
1760372003,2025-10-13T16:13:23Z,DAL603,"29.989889,-95.348618",0,11,317
1760372009,2025-10-13T16:13:29Z,DAL603,"29.989969,-95.34893",0,10,292
1760372013,2025-10-13T16:13:33Z,DAL603,"29.98995,-95.349159",0,11,273
1760372018,2025-10-13T16:13:38Z,DAL603,"29.98995,-95.349457",0,11,269
1760372021,2025-10-13T16:13:41Z,DAL603,"29.98995,-95.349663",0,12,269
1760372025,2025-10-13T16:13:45Z,DAL603,"29.98995,-95.349899",0,12,270
1760372030,2025-10-13T16:13:50Z,DAL603,"29.98995,-95.350197",0,11,270
1760372034,2025-10-13T16:13:54Z,DAL603,"29.98992,-95.350449",0,12,264
1760372038,2025-10-13T16:13:58Z,DAL603,"29.989799,-95.35067",0,12,247
1760372041,2025-10-13T16:14:01Z,DAL603,"29.98959,-95.350739",0,14,211
1760372046,2025-10-13T16:14:06Z,DAL603,"29.989269,-95.350739",0,15,175
1760372051,2025-10-13T16:14:11Z,DAL603,"29.98904,-95.3508",0,11,186
1760372055,2025-10-13T16:14:15Z,DAL603,"29.988979,-95.351044",0,11,236
1760372060,2025-10-13T16:14:20Z,DAL603,"29.989,-95.351334",0,12,273
1760372065,2025-10-13T16:14:25Z,DAL603,"29.98896,-95.351608",0,11,269
1760372069,2025-10-13T16:14:29Z,DAL603,"29.988991,-95.351837",0,11,271
1760372079,2025-10-13T16:14:39Z,DAL603,"29.988979,-95.352127",0,6,269
1760372086,2025-10-13T16:14:46Z,DAL603,"29.988979,-95.352371",0,7,269
1760372091,2025-10-13T16:14:51Z,DAL603,"29.989031,-95.352592",0,8,276
1760372097,2025-10-13T16:14:57Z,DAL603,"29.98912,-95.352852",0,9,289
1760372101,2025-10-13T16:15:01Z,DAL603,"29.989189,-95.353111",0,12,290
1760372105,2025-10-13T16:15:05Z,DAL603,"29.98921,-95.353432",0,15,276
1760372108,2025-10-13T16:15:08Z,DAL603,"29.989201,-95.353653",0,14,271
1760372111,2025-10-13T16:15:11Z,DAL603,"29.989201,-95.353889",0,15,269
1760372114,2025-10-13T16:15:14Z,DAL603,"29.989201,-95.354141",0,15,269
1760372118,2025-10-13T16:15:18Z,DAL603,"29.989189,-95.354462",0,15,270
1760372125,2025-10-13T16:15:25Z,DAL603,"29.989389,-95.355011",0,16,295
1760372129,2025-10-13T16:15:29Z,DAL603,"29.989571,-95.355301",0,16,304
1760372132,2025-10-13T16:15:32Z,DAL603,"29.98974,-95.355507",0,17,308
1760372136,2025-10-13T16:15:36Z,DAL603,"29.98999,-95.355789",0,19,314
1760372139,2025-10-13T16:15:39Z,DAL603,"29.990191,-95.355949",0,18,322
1760372142,2025-10-13T16:15:42Z,DAL603,"29.99044,-95.356079",0,20,332
1760372146,2025-10-13T16:15:46Z,DAL603,"29.990709,-95.356247",0,17,333
