Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1789162328,2026-09-11T21:32:08Z,UAL1268,"40.68433,-74.184448",0,0,185
1789162454,2026-09-11T21:34:14Z,UAL1268,"40.68433,-74.184448",0,0,185
1789162633,2026-09-11T21:37:13Z,UAL1268,"40.684536,-74.184418",0,0,185
1789162663,2026-09-11T21:37:43Z,UAL1268,"40.684753,-74.184402",0,0,182
1789162702,2026-09-11T21:38:22Z,UAL1268,"40.684967,-74.184372",0,0,157
1789162763,2026-09-11T21:39:23Z,UAL1268,"40.685074,-74.184151",0,2,98
1789162779,2026-09-11T21:39:39Z,UAL1268,"40.685085,-74.183945",0,2,87
1789162799,2026-09-11T21:39:59Z,UAL1268,"40.685085,-74.183701",0,2,87
1789162818,2026-09-11T21:40:18Z,UAL1268,"40.685074,-74.183456",0,0,92
1789162894,2026-09-11T21:41:34Z,UAL1268,"40.685062,-74.183228",0,0,92
1789163032,2026-09-11T21:43:52Z,UAL1268,"40.685051,-74.183014",0,3,92
1789163047,2026-09-11T21:44:07Z,UAL1268,"40.685017,-74.182541",0,7,95
1789163055,2026-09-11T21:44:15Z,UAL1268,"40.684982,-74.182159",0,9,95
1789163059,2026-09-11T21:44:19Z,UAL1268,"40.684959,-74.181931",0,9,101
1789163066,2026-09-11T21:44:26Z,UAL1268,"40.684853,-74.181641",0,9,118
1789163072,2026-09-11T21:44:32Z,UAL1268,"40.684689,-74.181374",0,9,129
1789163078,2026-09-11T21:44:38Z,UAL1268,"40.684536,-74.181122",0,9,129
1789163083,2026-09-11T21:44:43Z,UAL1268,"40.684422,-74.180893",0,9,123
1789163089,2026-09-11T21:44:49Z,UAL1268,"40.684307,-74.180634",0,9,120
1789163094,2026-09-11T21:44:54Z,UAL1268,"40.684219,-74.180359",0,0,118
1789163099,2026-09-11T21:44:59Z,UAL1268,"40.684109,-74.180069",0,5,117
1789163113,2026-09-11T21:45:13Z,UAL1268,"40.683884,-74.17955",0,6,115
1789163121,2026-09-11T21:45:21Z,UAL1268,"40.6838,-74.179314",0,4,115
1789163130,2026-09-11T21:45:30Z,UAL1268,"40.683708,-74.1791",0,4,118
1789163140,2026-09-11T21:45:40Z,UAL1268,"40.683632,-74.178833",0,5,105
1789163147,2026-09-11T21:45:47Z,UAL1268,"40.683529,-74.178581",0,6,115
1789163152,2026-09-11T21:45:52Z,UAL1268,"40.683449,-74.178352",0,8,115
1789163161,2026-09-11T21:46:01Z,UAL1268,"40.683369,-74.178131",0,4,115
1789163373,2026-09-11T21:49:33Z,UAL1268,"40.683289,-74.17791",0,3,111
1789163382,2026-09-11T21:49:42Z,UAL1268,"40.683189,-74.177658",0,5,115
1789163389,2026-09-11T21:49:49Z,UAL1268,"40.683109,-74.177437",0,6,116
1789163396,2026-09-11T21:49:56Z,UAL1268,"40.682949,-74.177231",0,5,128
1789163405,2026-09-11T21:50:05Z,UAL1268,"40.68269,-74.177002",0,9,141
1789163411,2026-09-11T21:50:11Z,UAL1268,"40.682419,-74.176781",0,10,147
1789163416,2026-09-11T21:50:16Z,UAL1268,"40.68219,-74.17672",0,10,157
1789163425,2026-09-11T21:50:25Z,UAL1268,"40.681911,-74.17691",0,8,194
1789163430,2026-09-11T21:50:30Z,UAL1268,"40.681702,-74.177063",0,9,202
1789163437,2026-09-11T21:50:37Z,UAL1268,"40.681492,-74.177193",0,8,205
1789163442,2026-09-11T21:50:42Z,UAL1268,"40.68129,-74.177292",0,9,204
1789163449,2026-09-11T21:50:49Z,UAL1268,"40.681011,-74.177483",0,9,206
1789163455,2026-09-11T21:50:55Z,UAL1268,"40.680779,-74.177628",0,10,206
1789163461,2026-09-11T21:51:01Z,UAL1268,"40.68055,-74.17778",0,9,206
1789163468,2026-09-11T21:51:08Z,UAL1268,"40.680328,-74.17794",0,7,206
1789163476,2026-09-11T21:51:16Z,UAL1268,"40.68008,-74.178062",0,8,203
1789163848,2026-09-11T21:57:28Z,UAL1268,"40.679821,-74.178238",0,3,194
1789163861,2026-09-11T21:57:41Z,UAL1268,"40.679588,-74.178383",0,4,205
1789163872,2026-09-11T21:57:52Z,UAL1268,"40.679371,-74.17852",0,5,204
1789163882,2026-09-11T21:58:02Z,UAL1268,"40.679169,-74.178658",0,5,206
1789163892,2026-09-11T21:58:12Z,UAL1268,"40.678928,-74.178802",0,6,204
1789163902,2026-09-11T21:58:22Z,UAL1268,"40.678707,-74.178955",0,6,205
1789164004,2026-09-11T22:00:04Z,UAL1268,"40.678459,-74.179108",0,2,207
1789164018,2026-09-11T22:00:18Z,UAL1268,"40.67823,-74.179253",0,4,203
1789164028,2026-09-11T22:00:28Z,UAL1268,"40.67799,-74.179398",0,6,205
1789164040,2026-09-11T22:00:40Z,UAL1268,"40.677738,-74.179558",0,5,198
1789164108,2026-09-11T22:01:48Z,UAL1268,"40.677528,-74.179703",0,3,208
1789164128,2026-09-11T22:02:08Z,UAL1268,"40.677311,-74.179863",0,4,207
1789164157,2026-09-11T22:02:37Z,UAL1268,"40.677101,-74.17997",0,2,206
1789164259,2026-09-11T22:04:19Z,UAL1268,"40.676899,-74.180099",0,2,206
1789164272,2026-09-11T22:04:32Z,UAL1268,"40.67667,-74.180229",0,5,203
1789164280,2026-09-11T22:04:40Z,UAL1268,"40.676468,-74.180359",0,7,205
1789164289,2026-09-11T22:04:49Z,UAL1268,"40.676262,-74.180481",0,4,205
1789164333,2026-09-11T22:05:33Z,UAL1268,"40.67606,-74.18042",0,0,331
1789164352,2026-09-11T22:05:52Z,UAL1268,"40.675831,-74.180183",0,8,138
1789164357,2026-09-11T22:05:57Z,UAL1268,"40.675701,-74.179977",0,10,129
1789164361,2026-09-11T22:06:01Z,UAL1268,"40.675621,-74.179764",0,10,118
1789164365,2026-09-11T22:06:05Z,UAL1268,"40.675541,-74.17955",0,9,113
1789164370,2026-09-11T22:06:10Z,UAL1268,"40.675564,-74.179337",0,7,82
1789164493,2026-09-11T22:08:13Z,UAL1268,"40.675819,-74.179192",0,3,63
1789164498,2026-09-11T22:08:18Z,UAL1268,"40.676071,-74.179039",0,12,37
1789164501,2026-09-11T22:08:21Z,UAL1268,"40.676529,-74.178726",0,31,27
1789164502,2026-09-11T22:08:22Z,UAL1268,"40.676922,-74.17849",0,43,25
1789164504,2026-09-11T22:08:24Z,UAL1268,"40.677151,-74.17836",0,48,25
1789164506,2026-09-11T22:08:26Z,UAL1268,"40.677662,-74.178032",0,58,25
1789164507,2026-09-11T22:08:27Z,UAL1268,"40.677929,-74.177841",0,63,26
1789164509,2026-09-11T22:08:29Z,UAL1268,"40.678539,-74.17746",0,72,25
1789164511,2026-09-11T22:08:31Z,UAL1268,"40.679211,-74.177017",0,80,26
1789164513,2026-09-11T22:08:33Z,UAL1268,"40.679981,-74.176552",0,89,25
1789164514,2026-09-11T22:08:34Z,UAL1268,"40.680382,-74.176292",0,94,25
1789164515,2026-09-11T22:08:35Z,UAL1268,"40.68119,-74.175774",0,97,26
1789164517,2026-09-11T22:08:37Z,UAL1268,"40.681591,-74.175522",0,97,25
1789164519,2026-09-11T22:08:39Z,UAL1268,"40.682659,-74.174881",0,114,25
1789164522,2026-09-11T22:08:42Z,UAL1268,"40.684189,-74.173851",0,126,26
1789164525,2026-09-11T22:08:45Z,UAL1268,"40.685871,-74.172737",0,136,27
1789164527,2026-09-11T22:08:47Z,UAL1268,"40.687679,-74.171623",0,145,25
1789164530,2026-09-11T22:08:50Z,UAL1268,"40.688999,-74.170837",0,152,25
1789164533,2026-09-11T22:08:53Z,UAL1268,"40.691071,-74.169472",0,166,25
1789164536,2026-09-11T22:08:56Z,UAL1268,"40.693199,-74.168114",0,173,25
1789164539,2026-09-11T22:08:59Z,UAL1268,"40.6954,-74.166702",0,177,26
1789164541,2026-09-11T22:09:01Z,UAL1268,"40.696972,-74.16571",0,184,25
1789164544,2026-09-11T22:09:04Z,UAL1268,"40.69936,-74.164169",0,191,25
1789164546,2026-09-11T22:09:06Z,UAL1268,"40.700932,-74.163193",0,191,25
1789164549,2026-09-11T22:09:09Z,UAL1268,"40.703281,-74.161659",0,189,26
1789164552,2026-09-11T22:09:12Z,UAL1268,"40.705639,-74.160179",0,188,25
1789164554,2026-09-11T22:09:14Z,UAL1268,"40.708031,-74.158417",0,195,28
1789164557,2026-09-11T22:09:17Z,UAL1268,"40.70953,-74.157257",0,192,29
1789164559,2026-09-11T22:09:19Z,UAL1268,"40.711021,-74.156013",0,192,31
1789164562,2026-09-11T22:09:22Z,UAL1268,"40.713291,-74.15406",0,195,33
1789164565,2026-09-11T22:09:25Z,UAL1268,"40.715488,-74.151917",0,197,36
1789164568,2026-09-11T22:09:28Z,UAL1268,"40.717628,-74.149658",0,199,38
1789164570,2026-09-11T22:09:30Z,UAL1268,"40.718857,-74.148254",1025,200,40
1789164572,2026-09-11T22:09:32Z,UAL1268,"40.719894,-74.147041",1075,201,41
1789164574,2026-09-11T22:09:34Z,UAL1268,"40.721336,-74.145355",1150,202,42
1789164576,2026-09-11T22:09:36Z,UAL1268,"40.72348,-74.142761",1225,205,43
1789164578,2026-09-11T22:09:38Z,UAL1268,"40.724808,-74.141113",1275,208,43
1789164580,2026-09-11T22:09:40Z,UAL1268,"40.726227,-74.139282",1325,211,43
1789164582,2026-09-11T22:09:42Z,UAL1268,"40.727646,-74.137512",1375,213,43
1789164584,2026-09-11T22:09:44Z,UAL1268,"40.729065,-74.135742",1425,215,44
1789164586,2026-09-11T22:09:46Z,UAL1268,"40.73074,-74.13356",1500,216,43
1789164588,2026-09-11T22:09:48Z,UAL1268,"40.732178,-74.131775",1550,219,43
1789164590,2026-09-11T22:09:50Z,UAL1268,"40.733952,-74.129501",1600,222,43
1789164592,2026-09-11T22:09:52Z,UAL1268,"40.735474,-74.127625",1650,224,43
1789164595,2026-09-11T22:09:55Z,UAL1268,"40.736755,-74.125977",1700,227,43
1789164597,2026-09-11T22:09:57Z,UAL1268,"40.738358,-74.123962",1750,230,43
1789164599,2026-09-11T22:09:59Z,UAL1268,"40.739914,-74.122009",1800,232,43
1789164607,2026-09-11T22:10:07Z,UAL1268,"40.746567,-74.113647",2075,239,43
1789164613,2026-09-11T22:10:13Z,UAL1268,"40.751907,-74.107361",2325,243,39
1789164616,2026-09-11T22:10:16Z,UAL1268,"40.754063,-74.105156",2400,245,36
1789164618,2026-09-11T22:10:18Z,UAL1268,"40.755508,-74.103905",2450,246,32
1789164620,2026-09-11T22:10:20Z,UAL1268,"40.758041,-74.101929",2550,247,29
1789164622,2026-09-11T22:10:22Z,UAL1268,"40.759651,-74.100845",2600,249,24
1789164624,2026-09-11T22:10:24Z,UAL1268,"40.762573,-74.099365",2650,250,20
1789164626,2026-09-11T22:10:26Z,UAL1268,"40.764771,-74.098511",2700,251,15
1789164628,2026-09-11T22:10:28Z,UAL1268,"40.767197,-74.097839",2775,252,10
1789164630,2026-09-11T22:10:30Z,UAL1268,"40.769287,-74.097542",2825,253,6
1789164632,2026-09-11T22:10:32Z,UAL1268,"40.771706,-74.097412",2875,254,1
1789164634,2026-09-11T22:10:34Z,UAL1268,"40.774639,-74.097603",2925,255,357
1789164636,2026-09-11T22:10:36Z,UAL1268,"40.776966,-74.098038",2950,256,351
1789164638,2026-09-11T22:10:38Z,UAL1268,"40.77919,-74.098633",2975,257,349
1789164640,2026-09-11T22:10:40Z,UAL1268,"40.781616,-74.099548",2975,257,344
1789164642,2026-09-11T22:10:42Z,UAL1268,"40.783951,-74.100708",3000,256,339
1789164644,2026-09-11T22:10:44Z,UAL1268,"40.786045,-74.101974",2975,256,333
1789164646,2026-09-11T22:10:46Z,UAL1268,"40.787888,-74.103394",2975,256,328
1789164649,2026-09-11T22:10:49Z,UAL1268,"40.789856,-74.105164",2975,256,323
1789164651,2026-09-11T22:10:51Z,UAL1268,"40.791687,-74.107117",2975,256,318
1789164653,2026-09-11T22:10:53Z,UAL1268,"40.793701,-74.109741",2950,256,313
1789164655,2026-09-11T22:10:55Z,UAL1268,"40.795124,-74.111961",2950,256,308
1789164657,2026-09-11T22:10:57Z,UAL1268,"40.796539,-74.114624",2950,257,303
1789164659,2026-09-11T22:10:59Z,UAL1268,"40.797684,-74.117188",2950,257,298
1789164661,2026-09-11T22:11:01Z,UAL1268,"40.798965,-74.12085",2950,257,293
1789164663,2026-09-11T22:11:03Z,UAL1268,"40.799778,-74.12413",2950,257,288
1789164665,2026-09-11T22:11:05Z,UAL1268,"40.800339,-74.126953",2950,258,284
1789164667,2026-09-11T22:11:07Z,UAL1268,"40.800705,-74.129761",2925,258,278
1789164669,2026-09-11T22:11:09Z,UAL1268,"40.800987,-74.133621",2950,258,273
1789164671,2026-09-11T22:11:11Z,UAL1268,"40.801071,-74.136841",2950,259,270
1789164673,2026-09-11T22:11:13Z,UAL1268,"40.801033,-74.140175",2975,260,268
1789164676,2026-09-11T22:11:16Z,UAL1268,"40.800941,-74.143417",2975,260,266
1789164678,2026-09-11T22:11:18Z,UAL1268,"40.800755,-74.146416",3000,260,265
1789164680,2026-09-11T22:11:20Z,UAL1268,"40.800568,-74.149414",3050,261,265
1789164682,2026-09-11T22:11:22Z,UAL1268,"40.800335,-74.153221",3100,261,265
1789164684,2026-09-11T22:11:24Z,UAL1268,"40.800102,-74.156403",3150,260,265
1789164686,2026-09-11T22:11:26Z,UAL1268,"40.799927,-74.159546",3200,260,265
1789164688,2026-09-11T22:11:28Z,UAL1268,"40.799732,-74.162712",3275,260,265
1789164690,2026-09-11T22:11:30Z,UAL1268,"40.7995,-74.165703",3325,260,264
1789164692,2026-09-11T22:11:32Z,UAL1268,"40.799313,-74.168823",3400,260,264
1789164694,2026-09-11T22:11:34Z,UAL1268,"40.799034,-74.172882",3500,259,265
1789164696,2026-09-11T22:11:36Z,UAL1268,"40.798847,-74.176315",3600,260,265
1789164698,2026-09-11T22:11:38Z,UAL1268,"40.798645,-74.179626",3675,261,265
1789164700,2026-09-11T22:11:40Z,UAL1268,"40.798462,-74.182983",3775,261,265
1789164702,2026-09-11T22:11:42Z,UAL1268,"40.798286,-74.186058",3850,261,265
1789164711,2026-09-11T22:11:51Z,UAL1268,"40.797455,-74.199036",4275,261,264
1789164719,2026-09-11T22:11:59Z,UAL1268,"40.796631,-74.211792",4675,263,266
1789164727,2026-09-11T22:12:07Z,UAL1268,"40.795898,-74.225586",5100,263,265
1789164742,2026-09-11T22:12:22Z,UAL1268,"40.794434,-74.248474",5825,265,264
1789164757,2026-09-11T22:12:37Z,UAL1268,"40.792648,-74.273071",6550,266,264
1789164769,2026-09-11T22:12:49Z,UAL1268,"40.791138,-74.292175",7150,265,264
1789164783,2026-09-11T22:13:03Z,UAL1268,"40.789581,-74.315956",7750,268,265
1789164798,2026-09-11T22:13:18Z,UAL1268,"40.7883,-74.339355",8275,273,265
1789164810,2026-09-11T22:13:30Z,UAL1268,"40.787163,-74.360153",8675,281,264
1789164820,2026-09-11T22:13:40Z,UAL1268,"40.784958,-74.377686",9025,286,257
1789164822,2026-09-11T22:13:42Z,UAL1268,"40.784317,-74.381165",9100,287,255
1789164825,2026-09-11T22:13:45Z,UAL1268,"40.783401,-74.385376",9200,288,253
1789164827,2026-09-11T22:13:47Z,UAL1268,"40.782761,-74.388306",9275,289,252
1789164829,2026-09-11T22:13:49Z,UAL1268,"40.781708,-74.392517",9375,289,251
1789164831,2026-09-11T22:13:51Z,UAL1268,"40.780926,-74.395355",9425,290,250
1789164833,2026-09-11T22:13:53Z,UAL1268,"40.779831,-74.399292",9525,290,249
1789164835,2026-09-11T22:13:55Z,UAL1268,"40.778736,-74.402847",9625,291,247
1789164837,2026-09-11T22:13:57Z,UAL1268,"40.777714,-74.406029",9700,291,246
1789164839,2026-09-11T22:13:59Z,UAL1268,"40.776455,-74.409653",9800,292,245
1789164841,2026-09-11T22:14:01Z,UAL1268,"40.775253,-74.413025",9875,292,244
1789164843,2026-09-11T22:14:03Z,UAL1268,"40.774109,-74.416199",9975,292,244
1789164845,2026-09-11T22:14:05Z,UAL1268,"40.772919,-74.419495",10075,291,244
1789164847,2026-09-11T22:14:07Z,UAL1268,"40.771683,-74.422913",10175,291,245
1789164849,2026-09-11T22:14:09Z,UAL1268,"40.770638,-74.42588",10250,292,245
1789164852,2026-09-11T22:14:12Z,UAL1268,"40.769474,-74.429131",10350,292,245
1789164854,2026-09-11T22:14:14Z,UAL1268,"40.768307,-74.432495",10425,293,245
1789164868,2026-09-11T22:14:28Z,UAL1268,"40.760056,-74.456665",10825,304,245
1789164881,2026-09-11T22:14:41Z,UAL1268,"40.752621,-74.478874",11050,315,246
1789164894,2026-09-11T22:14:54Z,UAL1268,"40.744801,-74.501663",11250,329,245
1789164909,2026-09-11T22:15:09Z,UAL1268,"40.735245,-74.528809",11550,340,244
1789164921,2026-09-11T22:15:21Z,UAL1268,"40.726639,-74.552673",11950,343,244
1789164934,2026-09-11T22:15:34Z,UAL1268,"40.717754,-74.577629",12250,351,244
1789164965,2026-09-11T22:16:05Z,UAL1268,"40.69574,-74.640076",13150,363,245
1789164998,2026-09-11T22:16:38Z,UAL1268,"40.673904,-74.702576",14725,352,245
1789165030,2026-09-11T22:17:10Z,UAL1268,"40.651657,-74.766418",15525,361,245
1789165062,2026-09-11T22:17:42Z,UAL1268,"40.629135,-74.830688",16400,368,245
1789165093,2026-09-11T22:18:13Z,UAL1268,"40.606167,-74.895981",17325,373,245
1789165125,2026-09-11T22:18:45Z,UAL1268,"40.583355,-74.960899",18250,376,245
1789165157,2026-09-11T22:19:17Z,UAL1268,"40.557953,-75.026001",19100,382,237
1789165163,2026-09-11T22:19:23Z,UAL1268,"40.551407,-75.038879",19300,383,235
1789165165,2026-09-11T22:19:25Z,UAL1268,"40.549793,-75.041924",19350,384,234
1789165167,2026-09-11T22:19:27Z,UAL1268,"40.547279,-75.046425",19400,384,233
1789165169,2026-09-11T22:19:29Z,UAL1268,"40.545135,-75.050171",19475,385,232
1789165171,2026-09-11T22:19:31Z,UAL1268,"40.54248,-75.054565",19525,385,231
1789165173,2026-09-11T22:19:33Z,UAL1268,"40.540192,-75.058289",19575,386,230
1789165175,2026-09-11T22:19:35Z,UAL1268,"40.538387,-75.06115",19625,387,230
1789165177,2026-09-11T22:19:37Z,UAL1268,"40.536026,-75.064941",19675,387,230
1789165179,2026-09-11T22:19:39Z,UAL1268,"40.533592,-75.068771",19750,387,230
1789165211,2026-09-11T22:20:11Z,UAL1268,"40.497932,-75.125694",20575,389,230
1789165243,2026-09-11T22:20:43Z,UAL1268,"40.460598,-75.184875",21450,391,230
1789165275,2026-09-11T22:21:15Z,UAL1268,"40.42345,-75.243797",22150,397,230
1789165306,2026-09-11T22:21:46Z,UAL1268,"40.386116,-75.302727",22875,403,230
1789165338,2026-09-11T22:22:18Z,UAL1268,"40.348755,-75.361633",23525,410,230
1789165370,2026-09-11T22:22:50Z,UAL1268,"40.310028,-75.422791",24150,415,230
1789165401,2026-09-11T22:23:21Z,UAL1268,"40.270618,-75.484566",24775,420,230
1789165433,2026-09-11T22:23:53Z,UAL1268,"40.230698,-75.54718",25475,421,230
1789165465,2026-09-11T22:24:25Z,UAL1268,"40.195621,-75.613594",26150,421,236
1789165497,2026-09-11T22:24:57Z,UAL1268,"40.162151,-75.679947",26775,422,236
1789165529,2026-09-11T22:25:29Z,UAL1268,"40.12738,-75.748779",27425,422,236
1789165561,2026-09-11T22:26:01Z,UAL1268,"40.092369,-75.818085",27925,427,236
1789165593,2026-09-11T22:26:33Z,UAL1268,"40.058029,-75.886108",28300,433,236
1789165625,2026-09-11T22:27:05Z,UAL1268,"40.022232,-75.956604",28675,440,236
1789165656,2026-09-11T22:27:36Z,UAL1268,"39.987122,-76.025757",29050,445,236
1789165687,2026-09-11T22:28:07Z,UAL1268,"39.950993,-76.09668",29475,448,236
1789165719,2026-09-11T22:28:39Z,UAL1268,"39.914402,-76.168091",29925,450,236
1789165751,2026-09-11T22:29:11Z,UAL1268,"39.877579,-76.239922",30450,451,236
1789165783,2026-09-11T22:29:43Z,UAL1268,"39.841003,-76.311157",30975,450,236
1789165814,2026-09-11T22:30:14Z,UAL1268,"39.804382,-76.382385",31650,445,236
1789165846,2026-09-11T22:30:46Z,UAL1268,"39.768505,-76.452332",32350,439,236
1789165878,2026-09-11T22:31:18Z,UAL1268,"39.732422,-76.5224",33000,435,236
1789165910,2026-09-11T22:31:50Z,UAL1268,"39.696854,-76.591362",33475,434,236
1789165942,2026-09-11T22:32:22Z,UAL1268,"39.661423,-76.659912",33825,437,236
1789165974,2026-09-11T22:32:54Z,UAL1268,"39.62466,-76.730591",34000,440,235
1789166006,2026-09-11T22:33:26Z,UAL1268,"39.588627,-76.799866",34000,439,236
1789166037,2026-09-11T22:33:57Z,UAL1268,"39.552521,-76.86895",34000,438,235
1789166070,2026-09-11T22:34:30Z,UAL1268,"39.516174,-76.937912",34000,439,234
1789166093,2026-09-11T22:34:53Z,UAL1268,"39.485458,-76.984901",34000,445,225
1789166095,2026-09-11T22:34:55Z,UAL1268,"39.482582,-76.988647",34000,446,224
1789166097,2026-09-11T22:34:57Z,UAL1268,"39.479507,-76.992546",34000,446,224
1789166099,2026-09-11T22:34:59Z,UAL1268,"39.4758,-76.997086",34000,446,223
1789166101,2026-09-11T22:35:01Z,UAL1268,"39.472321,-77.001266",34000,448,222
1789166103,2026-09-11T22:35:03Z,UAL1268,"39.469208,-77.004906",34000,448,222
1789166106,2026-09-11T22:35:06Z,UAL1268,"39.466148,-77.008301",34000,448,221
1789166108,2026-09-11T22:35:08Z,UAL1268,"39.462799,-77.012085",34000,449,220
1789166110,2026-09-11T22:35:10Z,UAL1268,"39.459446,-77.015686",34000,450,219
1789166112,2026-09-11T22:35:12Z,UAL1268,"39.455582,-77.019775",34000,450,219
1789166114,2026-09-11T22:35:14Z,UAL1268,"39.452602,-77.022888",34000,450,219
1789166146,2026-09-11T22:35:46Z,UAL1268,"39.401394,-77.077026",34000,449,219
1789166178,2026-09-11T22:36:18Z,UAL1268,"39.348839,-77.132385",34000,449,219
1789166210,2026-09-11T22:36:50Z,UAL1268,"39.298328,-77.185303",34000,448,219
1789166242,2026-09-11T22:37:22Z,UAL1268,"39.247101,-77.238846",34000,447,219
1789166274,2026-09-11T22:37:54Z,UAL1268,"39.195683,-77.292603",34000,444,219
1789166306,2026-09-11T22:38:26Z,UAL1268,"39.145218,-77.345215",34000,440,218
1789166337,2026-09-11T22:38:57Z,UAL1268,"39.095173,-77.3974",34000,434,219
1789166369,2026-09-11T22:39:29Z,UAL1268,"39.046234,-77.448418",34000,428,219
1789166400,2026-09-11T22:40:00Z,UAL1268,"38.998856,-77.49762",34000,425,218
1789166432,2026-09-11T22:40:32Z,UAL1268,"38.950287,-77.548012",34000,425,218
1789166464,2026-09-11T22:41:04Z,UAL1268,"38.901611,-77.598206",34000,426,218
1789166495,2026-09-11T22:41:35Z,UAL1268,"38.852962,-77.648315",34000,426,218
1789166527,2026-09-11T22:42:07Z,UAL1268,"38.804501,-77.698181",34000,427,218
1789166559,2026-09-11T22:42:39Z,UAL1268,"38.755508,-77.748512",34000,428,218
1789166590,2026-09-11T22:43:10Z,UAL1268,"38.706985,-77.798248",34000,432,218
1789166622,2026-09-11T22:43:42Z,UAL1268,"38.657166,-77.850098",34000,433,222
1789166638,2026-09-11T22:43:58Z,UAL1268,"38.633797,-77.880371",34000,429,228
1789166641,2026-09-11T22:44:01Z,UAL1268,"38.631233,-77.884155",34000,429,229
1789166643,2026-09-11T22:44:03Z,UAL1268,"38.628159,-77.888771",34000,429,229
1789166645,2026-09-11T22:44:05Z,UAL1268,"38.625641,-77.892586",34000,428,230
1789166647,2026-09-11T22:44:07Z,UAL1268,"38.623077,-77.896652",34000,428,231
1789166649,2026-09-11T22:44:09Z,UAL1268,"38.62048,-77.900879",34000,428,231
1789166651,2026-09-11T22:44:11Z,UAL1268,"38.617874,-77.905273",34000,427,232
1789166653,2026-09-11T22:44:13Z,UAL1268,"38.615387,-77.909485",34000,427,233
1789166655,2026-09-11T22:44:15Z,UAL1268,"38.613125,-77.91333",34000,427,233
1789166687,2026-09-11T22:44:47Z,UAL1268,"38.575333,-77.977554",34000,427,233
1789166719,2026-09-11T22:45:19Z,UAL1268,"38.537659,-78.041504",34000,429,233
1789166750,2026-09-11T22:45:50Z,UAL1268,"38.501263,-78.103455",34000,430,233
1789166781,2026-09-11T22:46:21Z,UAL1268,"38.463226,-78.168152",34000,430,233
1789166812,2026-09-11T22:46:52Z,UAL1268,"38.42622,-78.230652",34000,432,232
1789166843,2026-09-11T22:47:23Z,UAL1268,"38.388466,-78.294426",34000,431,233
1789166875,2026-09-11T22:47:55Z,UAL1268,"38.350666,-78.358131",34000,432,232
1789166907,2026-09-11T22:48:27Z,UAL1268,"38.312447,-78.422379",34000,432,232
1789166939,2026-09-11T22:48:59Z,UAL1268,"38.273392,-78.487846",34000,432,232
1789166971,2026-09-11T22:49:31Z,UAL1268,"38.234253,-78.553474",34000,432,232
1789167003,2026-09-11T22:50:03Z,UAL1268,"38.196018,-78.617447",34000,431,232
1789167036,2026-09-11T22:50:36Z,UAL1268,"38.156635,-78.683006",34000,431,232
1789167068,2026-09-11T22:51:08Z,UAL1268,"38.117432,-78.748245",34000,431,232
1789167100,2026-09-11T22:51:40Z,UAL1268,"38.07917,-78.811798",34000,428,232
1789167132,2026-09-11T22:52:12Z,UAL1268,"38.040253,-78.876282",34000,428,232
1789167164,2026-09-11T22:52:44Z,UAL1268,"38.002083,-78.939575",34000,428,232
1789167196,2026-09-11T22:53:16Z,UAL1268,"37.963955,-79.00251",34000,428,232
1789167228,2026-09-11T22:53:48Z,UAL1268,"37.924896,-79.066734",34000,427,232
1789167253,2026-09-11T22:54:13Z,UAL1268,"37.890701,-79.113075",34000,430,224
1789167255,2026-09-11T22:54:15Z,UAL1268,"37.887192,-79.117447",34000,430,224
1789167288,2026-09-11T22:54:48Z,UAL1268,"37.841103,-79.174347",34000,431,224
1789167319,2026-09-11T22:55:19Z,UAL1268,"37.796925,-79.229042",34000,432,224
1789167351,2026-09-11T22:55:51Z,UAL1268,"37.750793,-79.285759",34000,432,224
1789167383,2026-09-11T22:56:23Z,UAL1268,"37.705265,-79.341591",34000,434,224
1789167415,2026-09-11T22:56:55Z,UAL1268,"37.658432,-79.399246",34000,435,224
1789167447,2026-09-11T22:57:27Z,UAL1268,"37.613136,-79.454796",34000,436,224
1789167479,2026-09-11T22:57:59Z,UAL1268,"37.565826,-79.512672",34000,436,224
1789167510,2026-09-11T22:58:30Z,UAL1268,"37.521942,-79.566154",34000,435,224
1789167542,2026-09-11T22:59:02Z,UAL1268,"37.475235,-79.623001",34000,437,224
1789167574,2026-09-11T22:59:34Z,UAL1268,"37.42828,-79.680252",34000,439,224
1789167606,2026-09-11T23:00:06Z,UAL1268,"37.381771,-79.736679",34000,439,224
1789167638,2026-09-11T23:00:38Z,UAL1268,"37.334148,-79.794479",34000,441,223
1789167669,2026-09-11T23:01:09Z,UAL1268,"37.288761,-79.849289",34000,441,223
1789167701,2026-09-11T23:01:41Z,UAL1268,"37.241821,-79.906021",34000,441,223
1789167733,2026-09-11T23:02:13Z,UAL1268,"37.194725,-79.962852",34000,441,223
1789167766,2026-09-11T23:02:46Z,UAL1268,"37.146515,-80.020851",34000,442,223
1789167797,2026-09-11T23:03:17Z,UAL1268,"37.099823,-80.07695",34000,441,223
1789167828,2026-09-11T23:03:48Z,UAL1268,"37.055347,-80.130219",34000,441,223
1789167860,2026-09-11T23:04:20Z,UAL1268,"37.009048,-80.18576",34000,440,223
1789167890,2026-09-11T23:04:50Z,UAL1268,"36.963959,-80.239639",34000,439,223
1789167922,2026-09-11T23:05:22Z,UAL1268,"36.916718,-80.296036",34000,437,223
